Timestamp,Region_ID,Soil_Moisture,Soil_Temperature,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Air_Temperature,Humidity,Rainfall,Solar_Radiation,Groundwater_Level,Surface_Water_Availability,NDVI_Index,Vegetation_Density,Biodiversity_Index,Land_Degradation_Index,Crop_Yield_Potential,Drought_Risk_Level,Soil_Erosion_Risk,Recommended_Irrigation,Land_Use_Category
2024-01-01 16:00:00,R04,49.95,20.37,7.08,52.96,55.48,129.36,16.4,79.09,30.38,1174.63,3.18,78.74,0.359,91.27,0.631,0.653,3846.76,0.969,0.928,12.56,Water
2024-01-01 17:00:00,R08,56.17,29.08,6.81,79.49,36.18,183.33,43.73,43.05,8.36,433.1,9.76,71.95,0.198,30.62,0.867,0.317,5845.34,0.24,0.578,9.57,Agriculture
2024-01-01 18:00:00,R08,10.24,17.84,4.96,114.21,66.6,53.64,35.85,33.59,67.97,1054.67,2.14,92.35,0.811,3.36,0.032,0.234,1523.12,0.826,0.643,12.57,Agriculture
2024-01-01 19:00:00,R03,29.75,25.54,6.41,28.73,59.72,242.53,24.74,72.84,37.96,505.82,15.74,81.69,0.127,14.92,0.206,0.628,1670.46,0.162,0.882,9.81,Agriculture
2024-01-01 20:00:00,R06,23.56,26.95,5.92,23.25,45.55,76.1,35.1,87.19,96.83,352.29,8.74,34.12,0.937,81.92,0.296,0.146,5831.1,0.224,0.316,13.98,Water
2024-01-01 21:00:00,R05,52.89,39.11,6.46,13.67,70.78,74.54,40.38,77.31,87.92,436.69,2.67,85.44,0.168,92.62,0.577,0.446,1709.04,0.483,0.265,0.2,Water
2024-01-01 22:00:00,R02,9.59,41.36,8.19,50.02,67.16,91.39,41.13,43.48,56.23,196.84,23.27,46.74,0.889,7.51,0.666,0.25,1765.37,0.103,0.895,5.24,Forest
2024-01-01 23:00:00,R08,16.61,24.51,6.42,47.14,44.89,190.0,15.62,46.52,67.27,830.83,3.19,84.72,0.168,90.87,0.553,0.706,5953.73,0.29,0.188,0.97,Agroforestry
2024-01-02 00:00:00,R12,46.39,10.62,4.56,57.39,10.13,114.25,39.55,34.2,73.05,635.37,8.51,90.57,0.048,94.37,0.698,0.535,4101.41,0.67,0.999,5.69,Forest
2024-01-02 01:00:00,R14,7.82,40.16,6.26,65.36,47.45,135.7,40.6,81.8,32.48,755.91,23.26,68.53,0.488,75.43,0.446,0.1,2190.54,0.463,0.797,3.71,Water
2024-01-02 02:00:00,R06,32.09,16.1,7.78,93.36,31.64,282.23,32.87,28.03,16.73,398.56,15.59,71.89,0.356,76.11,0.797,0.56,1831.58,0.564,0.885,3.69,Restoration
2024-01-02 03:00:00,R02,29.32,31.77,7.62,53.13,45.51,260.27,29.4,87.74,45.18,801.48,24.6,14.11,0.598,0.15,0.072,0.602,3129.53,0.051,0.263,4.33,Restoration
2024-01-02 04:00:00,R12,23.39,10.87,6.55,46.37,53.53,261.57,18.33,65.09,11.38,239.29,12.73,32.38,0.641,22.27,0.62,0.291,2262.63,0.251,0.851,4.34,Forest
2024-01-02 05:00:00,R05,26.7,23.98,5.5,100.96,53.36,190.19,22.19,64.16,37.78,800.34,24.54,55.77,0.934,21.46,0.043,0.331,550.28,0.767,0.36,8.72,Forest
2024-01-02 06:00:00,R01,34.15,44.51,6.36,103.48,55.51,265.28,29.71,82.84,66.31,143.31,16.38,0.35,0.953,58.15,0.231,0.875,883.97,0.574,0.428,9.74,Agriculture
2024-01-02 07:00:00,R12,13.88,13.52,6.75,35.6,55.95,242.43,40.95,70.06,64.81,510.31,3.09,84.73,0.495,65.69,0.062,0.112,3467.03,0.001,0.647,3.89,Agriculture
2024-01-02 08:00:00,R10,36.46,24.83,8.5,44.61,13.2,287.84,39.09,42.82,14.47,751.22,14.41,36.95,0.209,90.17,0.594,0.968,1944.97,0.602,0.957,2.13,Agriculture
2024-01-02 09:00:00,R06,49.3,20.75,7.08,100.76,19.38,56.74,29.88,46.21,1.0,1033.62,16.83,72.34,0.247,48.8,0.21,0.214,5681.1,0.133,0.539,6.25,Agriculture
2024-01-02 10:00:00,R13,46.81,41.68,7.28,18.73,52.29,47.47,38.57,32.98,10.67,984.28,18.56,76.93,0.1,50.1,0.092,0.242,4323.91,0.132,0.606,4.46,Restoration
2024-01-02 11:00:00,R12,13.46,40.43,6.47,45.84,35.61,85.51,37.97,54.8,4.34,655.99,27.87,54.81,0.28,5.43,0.773,0.391,5877.91,0.929,0.901,13.79,Agroforestry
2024-01-02 12:00:00,R09,13.21,18.32,5.92,59.32,62.21,281.56,32.37,28.26,48.06,1065.88,5.91,79.02,0.911,99.74,0.001,0.948,4928.01,0.968,0.23,11.97,Water
2024-01-02 13:00:00,R01,19.75,12.84,7.75,30.58,14.37,197.45,21.61,68.98,46.77,631.79,18.38,68.24,0.365,94.56,0.549,0.896,2224.58,0.527,0.48,13.27,Agriculture
2024-01-02 14:00:00,R11,24.86,31.95,6.48,29.79,19.36,150.79,25.44,32.69,28.99,644.74,22.68,35.98,0.63,7.2,0.919,0.747,4595.08,0.591,0.878,1.55,Forest
2024-01-02 15:00:00,R11,27.47,21.77,8.48,56.73,46.88,173.3,19.92,84.79,25.85,878.64,26.75,81.62,0.981,55.77,0.788,0.795,3055.65,0.407,0.829,5.74,Water
2024-01-02 16:00:00,R15,42.38,33.52,6.33,93.0,42.56,255.7,15.21,72.53,47.57,1059.45,16.0,63.61,0.107,34.78,0.604,0.522,3324.95,0.883,0.06,12.73,Water
2024-01-02 17:00:00,R10,8.12,11.12,4.77,102.43,24.98,281.57,17.42,86.86,10.39,743.12,6.81,16.02,0.775,42.83,0.103,0.905,3413.8,0.523,0.057,2.63,Water
2024-01-02 18:00:00,R12,6.91,14.67,7.23,117.72,35.63,229.72,37.79,26.53,25.72,1135.82,24.62,77.28,0.7,65.17,0.79,0.127,4263.79,0.928,0.865,11.71,Forest
2024-01-02 19:00:00,R12,26.56,34.02,4.69,18.14,7.62,237.56,16.0,79.89,48.68,317.47,27.2,67.62,0.819,41.97,0.335,0.542,2486.57,0.222,0.258,13.1,Agriculture
2024-01-02 20:00:00,R15,43.34,17.43,5.5,33.84,7.78,123.3,27.0,86.06,11.38,1112.96,3.64,28.47,0.137,49.56,0.153,0.822,4812.98,0.095,0.352,4.11,Agroforestry
2024-01-02 21:00:00,R14,15.64,40.02,5.91,93.23,12.12,161.43,44.57,23.34,100.9,304.9,7.28,84.2,0.502,27.31,0.988,0.57,1455.31,0.987,0.678,14.51,Forest
2024-01-02 22:00:00,R14,40.28,12.05,7.46,69.47,48.26,270.15,38.86,94.93,81.12,655.38,26.21,37.4,0.632,8.24,0.091,0.815,2465.7,0.493,0.663,12.55,Agriculture
2024-01-02 23:00:00,R15,19.29,17.54,6.48,46.04,69.78,244.34,37.52,42.55,45.97,965.44,14.79,55.27,0.76,75.52,0.718,0.167,4217.64,0.615,0.704,2.52,Agroforestry
2024-01-03 00:00:00,R14,53.73,44.95,4.61,32.61,24.52,217.91,23.24,35.88,18.05,971.82,5.49,34.32,0.713,37.84,0.353,0.039,5151.96,0.343,0.087,8.61,Agroforestry
2024-01-03 01:00:00,R03,54.26,25.16,6.97,40.85,7.55,56.96,34.25,51.12,23.3,369.88,19.54,72.44,0.571,88.66,0.841,0.559,5209.14,0.134,0.6,3.45,Forest
2024-01-03 02:00:00,R12,21.35,34.6,6.15,57.22,58.15,50.27,29.96,20.65,14.41,1183.78,14.02,58.12,0.469,94.5,0.547,0.697,2349.56,0.841,0.48,6.93,Agroforestry
2024-01-03 03:00:00,R07,17.65,16.39,8.19,29.49,69.15,73.91,33.71,86.44,19.21,142.69,29.05,47.03,0.942,8.83,0.89,0.556,2817.36,0.145,0.805,7.65,Restoration
2024-01-03 04:00:00,R04,27.62,31.35,6.5,116.06,15.36,191.16,28.07,40.14,50.7,90.0,7.07,2.03,0.182,68.44,0.554,0.364,1941.7,0.502,0.154,10.07,Restoration
2024-01-03 05:00:00,R09,18.23,35.41,7.34,21.83,33.93,179.46,30.93,59.12,29.48,1017.76,11.18,60.72,0.204,82.01,0.324,0.723,3912.79,0.831,0.703,9.22,Water
2024-01-03 06:00:00,R03,41.98,21.01,5.38,118.41,16.91,285.1,44.65,66.77,106.15,991.87,5.4,62.24,0.111,64.7,0.961,0.93,2558.0,0.66,0.763,5.32,Forest
2024-01-03 07:00:00,R05,50.43,39.01,7.54,102.61,12.98,220.64,24.88,79.33,115.31,869.74,1.97,18.12,0.113,32.87,0.456,0.57,5601.12,0.675,0.987,7.98,Agriculture
2024-01-03 08:00:00,R03,42.02,31.12,7.38,56.55,53.61,116.43,21.49,38.77,82.96,1028.39,8.58,33.23,0.873,28.45,0.85,0.17,2427.48,0.231,0.613,1.17,Agroforestry
2024-01-03 09:00:00,R07,50.34,23.62,8.12,91.38,77.57,81.99,28.45,73.79,97.05,208.19,24.68,87.88,0.607,46.23,0.84,0.521,4224.54,0.526,0.258,8.4,Forest
2024-01-03 10:00:00,R05,26.83,29.52,4.64,83.87,55.86,260.88,30.73,28.82,30.61,160.04,8.38,54.92,0.935,25.9,0.563,0.751,4165.75,0.042,0.847,14.66,Water
2024-01-03 11:00:00,R09,13.6,30.19,6.29,33.46,78.86,159.5,17.57,72.82,79.8,1164.81,21.04,43.51,0.887,89.57,0.501,0.198,3217.0,0.06,0.796,8.47,Water
2024-01-03 12:00:00,R07,45.59,15.79,7.22,47.3,37.58,209.9,39.18,88.95,6.96,767.87,16.02,93.6,0.301,4.9,0.295,0.443,616.36,0.723,0.036,13.05,Agriculture
2024-01-03 13:00:00,R02,24.83,24.1,4.88,66.44,72.34,186.94,27.66,26.38,115.23,1107.82,15.83,81.19,0.641,11.27,0.561,0.668,2111.45,0.786,0.757,13.04,Water
2024-01-03 14:00:00,R04,41.92,22.02,6.14,80.16,20.38,67.94,27.4,28.75,80.42,1092.41,23.56,9.75,0.379,60.65,0.575,0.079,4386.8,0.139,0.69,14.33,Forest
2024-01-03 15:00:00,R09,19.89,24.03,8.27,69.72,13.84,54.84,34.77,61.79,38.02,801.11,18.72,85.89,0.876,65.83,0.24,0.204,2758.23,0.951,0.24,1.03,Water
2024-01-03 16:00:00,R12,9.47,36.64,6.24,62.03,57.69,138.02,38.2,23.48,92.76,772.75,5.22,14.97,0.734,73.6,0.805,0.722,882.11,0.131,0.59,9.62,Forest
2024-01-03 17:00:00,R14,59.59,26.89,8.44,58.75,32.86,134.0,44.58,34.05,1.9,463.94,7.01,17.48,0.123,27.56,0.337,0.313,5438.3,0.42,0.526,13.77,Agroforestry
2024-01-03 18:00:00,R02,13.59,42.91,4.73,64.81,28.83,215.19,20.21,34.26,45.15,221.48,16.54,7.53,0.253,29.44,0.754,0.093,3720.44,0.197,0.266,11.85,Agroforestry
2024-01-03 19:00:00,R10,59.36,20.28,7.37,57.78,55.35,204.37,25.37,56.09,107.48,839.6,25.44,48.14,0.658,41.37,0.988,0.745,954.35,0.099,0.464,6.72,Agroforestry
2024-01-03 20:00:00,R09,58.75,24.55,6.82,69.55,30.01,291.92,20.05,38.64,31.58,990.54,4.99,64.47,0.246,23.45,0.995,0.209,754.49,0.966,0.194,4.04,Restoration
2024-01-03 21:00:00,R10,48.66,37.54,6.5,107.68,47.94,263.11,41.43,55.66,80.15,676.32,3.65,75.37,0.534,37.72,0.863,0.103,1025.59,0.439,0.159,5.19,Water
2024-01-03 22:00:00,R05,41.27,29.11,8.38,79.61,27.46,169.11,31.45,59.09,43.21,108.5,15.77,2.67,0.244,69.69,0.857,0.624,5994.06,0.33,0.939,1.84,Agriculture
2024-01-03 23:00:00,R02,36.78,29.15,5.02,89.49,63.78,170.01,40.57,74.8,47.08,216.66,6.07,17.79,0.683,49.86,0.806,0.91,2051.89,0.328,0.574,3.15,Water
2024-01-04 00:00:00,R04,52.64,11.87,8.08,75.72,28.43,215.27,44.56,90.95,89.51,167.25,29.83,62.12,0.075,96.66,0.697,0.477,4365.4,0.208,0.811,10.7,Agriculture
2024-01-04 01:00:00,R12,20.92,23.95,7.26,80.73,45.12,69.66,31.51,57.78,109.22,806.51,0.63,52.56,0.721,57.96,0.184,0.224,1420.08,0.969,0.338,2.6,Restoration
2024-01-04 02:00:00,R15,30.72,19.48,5.54,73.62,6.74,299.97,18.54,46.63,20.01,699.51,13.74,5.14,0.337,32.86,0.108,0.582,1932.02,0.489,0.339,12.49,Restoration
2024-01-04 03:00:00,R12,39.07,44.98,8.11,12.96,64.38,174.89,25.84,39.4,33.23,586.48,5.29,93.54,0.454,18.18,0.572,0.635,539.14,0.53,0.5,3.81,Forest
2024-01-04 04:00:00,R07,27.62,20.79,6.22,119.96,51.53,276.58,16.09,67.6,58.53,674.92,20.59,75.85,0.484,21.99,0.677,0.938,5209.78,0.711,0.856,6.11,Restoration
2024-01-04 05:00:00,R12,28.51,40.96,7.76,13.7,19.42,291.51,40.48,90.72,73.66,367.35,19.09,35.88,0.194,1.61,0.401,0.968,5954.61,0.408,0.949,4.49,Agroforestry
2024-01-04 06:00:00,R13,23.17,33.67,6.06,53.47,21.15,191.23,15.54,77.35,56.13,975.44,24.31,53.64,0.942,44.21,0.949,0.343,2578.12,0.279,0.048,4.91,Forest
2024-01-04 07:00:00,R08,36.03,21.93,7.9,21.56,24.69,66.87,32.77,35.46,96.66,427.83,17.12,37.43,0.0,96.0,0.251,0.736,1669.75,0.293,0.467,12.17,Water
2024-01-04 08:00:00,R15,51.78,29.02,7.05,20.66,48.24,189.07,18.18,87.0,92.17,790.95,6.09,45.53,0.373,77.73,0.252,0.861,1397.97,0.348,0.876,10.83,Forest
2024-01-04 09:00:00,R03,16.08,39.42,5.06,97.29,46.12,195.39,15.23,75.16,48.63,499.51,2.07,59.62,0.129,30.07,0.869,0.637,1935.89,0.577,0.548,5.8,Restoration
2024-01-04 10:00:00,R14,56.39,40.92,7.1,56.85,25.54,245.19,22.68,29.6,4.87,132.99,21.8,39.85,0.36,79.88,0.509,0.851,2607.95,0.831,0.451,5.39,Agroforestry
2024-01-04 11:00:00,R01,42.9,15.61,5.27,98.13,57.05,52.54,31.56,73.46,23.34,345.49,13.48,62.07,0.104,93.18,0.036,0.522,4473.52,0.243,0.151,10.07,Restoration
2024-01-04 12:00:00,R04,50.28,21.89,6.15,40.01,71.68,161.24,17.25,41.7,58.43,1159.86,7.06,46.51,0.379,67.27,0.196,0.599,4404.93,0.584,0.443,10.36,Water
2024-01-04 13:00:00,R02,35.59,21.73,5.18,38.21,8.26,279.92,33.45,56.85,111.3,269.12,7.93,65.73,0.194,51.18,0.565,0.101,3326.02,0.751,0.74,0.69,Agroforestry
2024-01-04 14:00:00,R08,47.87,11.47,4.59,37.64,36.29,297.74,35.16,42.52,68.11,170.67,4.9,26.22,0.554,13.59,0.326,0.382,2675.18,0.995,0.679,3.24,Forest
2024-01-04 15:00:00,R04,5.89,30.94,5.35,77.78,49.51,89.76,44.09,26.3,63.65,384.83,8.87,17.12,0.012,7.97,0.489,0.014,3307.69,0.908,0.439,8.73,Restoration
2024-01-04 16:00:00,R02,50.01,39.92,6.65,99.65,48.98,266.36,41.99,77.64,86.88,1059.61,23.86,1.36,0.506,21.89,0.794,0.746,3597.31,0.647,0.767,8.82,Restoration
2024-01-04 17:00:00,R14,7.21,23.36,6.43,59.75,6.47,78.03,32.0,82.15,18.28,401.93,18.81,60.2,0.283,66.33,0.495,0.401,3881.2,0.947,0.594,2.9,Agriculture
2024-01-04 18:00:00,R06,53.95,35.9,6.51,51.72,20.79,258.71,38.8,37.4,17.63,529.99,29.63,98.08,0.321,15.47,0.465,0.899,4084.37,0.94,0.275,0.99,Agroforestry
2024-01-04 19:00:00,R06,59.56,31.97,5.49,117.09,9.64,112.09,25.91,37.97,41.45,406.59,15.97,42.04,0.355,53.32,0.176,0.104,4049.53,0.045,0.139,14.7,Agriculture
2024-01-04 20:00:00,R10,21.17,23.15,7.24,22.84,47.67,289.5,32.57,52.25,119.38,1187.32,15.88,21.26,0.653,43.66,0.146,0.022,1656.75,0.651,0.667,1.9,Restoration
2024-01-04 21:00:00,R04,16.57,14.94,7.32,63.53,53.4,220.83,27.1,80.86,105.11,1199.86,6.15,1.31,0.758,62.85,0.432,0.375,3147.48,0.651,0.175,13.08,Agriculture
2024-01-04 22:00:00,R06,47.09,34.83,5.93,54.93,16.98,143.77,25.11,25.8,81.61,605.19,17.8,51.28,0.33,5.21,0.21,0.974,2346.45,0.677,0.211,5.25,Water
2024-01-04 23:00:00,R13,18.92,39.91,8.02,20.79,29.98,113.05,36.83,80.65,46.94,952.55,18.45,99.27,0.925,98.02,0.4,0.97,3773.15,0.939,0.279,12.79,Restoration
2024-01-05 00:00:00,R15,52.61,34.0,7.08,39.5,29.74,101.16,23.9,89.2,66.56,303.07,6.59,98.38,0.746,68.99,0.566,0.68,3240.95,0.287,0.948,9.38,Water
2024-01-05 01:00:00,R02,10.66,10.63,7.35,13.13,66.49,217.01,26.42,62.11,36.43,480.44,3.09,10.14,0.404,72.17,0.113,0.254,1600.8,0.236,0.68,0.74,Agriculture
2024-01-05 02:00:00,R10,11.93,17.57,5.61,106.46,19.6,272.91,26.02,24.53,80.92,831.24,11.38,81.64,0.098,1.62,0.196,0.48,4239.78,0.48,0.927,13.67,Water
2024-01-05 03:00:00,R12,58.85,12.43,4.5,76.86,46.12,236.28,41.11,40.22,50.26,379.28,5.58,17.33,0.56,7.95,0.857,0.976,606.82,0.304,0.245,11.56,Restoration
2024-01-05 04:00:00,R02,42.06,29.96,7.96,99.65,63.72,257.05,20.11,28.35,14.43,308.4,15.34,80.94,0.614,68.78,0.633,0.799,2223.94,0.319,0.616,6.96,Restoration
2024-01-05 05:00:00,R10,51.58,36.48,7.79,67.37,67.22,243.16,26.44,39.45,25.81,1110.57,16.02,85.35,0.136,10.96,0.745,0.668,4815.57,0.248,0.673,8.92,Forest
2024-01-05 06:00:00,R14,22.84,13.87,4.99,75.95,54.99,294.58,41.64,80.88,73.04,330.94,18.44,0.77,0.852,89.54,0.489,0.929,4717.53,0.671,0.951,4.93,Agriculture
2024-01-05 07:00:00,R04,42.21,39.34,6.0,87.09,27.46,237.03,15.46,24.18,83.35,118.17,18.28,23.73,0.381,62.15,0.689,0.695,5722.87,0.734,0.467,2.19,Forest
2024-01-05 08:00:00,R14,37.68,29.44,7.15,109.88,66.73,94.66,43.44,41.29,11.52,913.75,20.41,5.66,0.152,7.11,0.433,0.295,3727.94,0.099,0.643,0.86,Restoration
2024-01-05 09:00:00,R15,38.17,34.15,7.11,20.09,60.66,245.82,41.97,58.77,97.0,329.76,7.3,49.89,0.521,61.36,0.13,0.563,3136.17,0.799,0.878,8.11,Forest
2024-01-05 10:00:00,R15,42.54,44.0,7.94,46.4,57.84,123.74,27.54,85.55,98.92,567.71,22.06,2.67,0.422,80.27,0.437,0.267,4167.57,0.268,0.142,2.69,Restoration
2024-01-05 11:00:00,R08,36.64,12.93,5.06,87.99,10.05,298.91,34.59,38.75,86.77,178.29,15.98,62.61,0.642,80.09,0.626,0.567,5147.39,0.132,0.911,5.32,Restoration
2024-01-05 12:00:00,R14,28.6,41.54,6.22,115.42,8.24,137.93,44.73,78.37,82.03,128.79,13.4,55.83,0.173,40.11,0.253,0.962,3798.15,0.457,0.328,4.53,Restoration
2024-01-05 13:00:00,R07,20.18,14.41,4.89,117.89,57.15,116.13,31.65,63.77,27.82,579.51,19.61,37.94,0.021,46.01,0.704,0.506,4592.5,0.614,0.429,5.63,Agriculture
2024-01-05 14:00:00,R12,47.27,23.75,6.06,80.19,75.86,102.2,17.91,70.73,110.35,437.65,15.29,46.18,0.476,73.61,0.134,0.506,2224.59,0.722,0.505,2.55,Forest
2024-01-05 15:00:00,R09,17.44,39.8,4.56,31.3,63.03,211.21,40.61,84.63,32.23,631.81,16.01,99.01,0.157,87.41,0.232,0.283,2298.43,0.6,0.717,11.75,Water
2024-01-05 16:00:00,R14,43.08,41.72,8.09,23.11,67.36,68.4,19.02,21.98,21.9,1160.65,1.19,16.77,0.156,79.36,0.725,0.226,888.2,0.938,0.158,11.01,Forest
2024-01-05 17:00:00,R08,17.83,27.72,6.61,114.06,45.87,287.93,22.72,59.73,76.62,518.5,24.16,73.1,0.678,59.61,0.235,0.11,1981.46,0.02,0.685,12.28,Agriculture
2024-01-05 18:00:00,R05,39.39,30.79,7.9,57.73,27.84,116.52,41.21,76.04,43.69,743.06,13.01,64.53,0.259,72.49,0.629,0.661,3201.0,0.911,0.095,7.31,Agriculture
2024-01-05 19:00:00,R13,46.09,34.79,4.74,31.43,55.83,116.8,22.68,86.35,111.96,162.23,15.78,66.37,0.84,65.23,0.706,0.566,4152.4,0.733,0.383,10.56,Agroforestry
2024-01-05 20:00:00,R02,17.03,39.15,5.41,112.73,58.4,51.98,37.35,29.95,55.23,1068.81,12.0,34.57,0.515,57.72,0.212,0.515,3511.68,0.936,0.619,2.02,Water
2024-01-05 21:00:00,R15,8.3,14.25,5.54,21.5,55.65,103.96,28.43,45.61,19.65,976.74,16.77,21.65,0.608,91.97,0.505,0.936,4457.52,0.249,0.14,8.85,Water
2024-01-05 22:00:00,R05,12.2,38.35,6.05,90.25,76.0,148.93,37.79,25.89,114.9,650.77,2.09,65.08,0.321,64.79,0.942,0.642,2995.64,0.19,0.668,14.01,Agroforestry
2024-01-05 23:00:00,R08,38.33,26.84,7.71,78.78,32.54,136.1,21.97,82.62,61.85,260.88,11.83,91.27,0.224,38.2,0.592,0.36,3321.54,0.997,0.954,4.6,Agroforestry
2024-01-06 00:00:00,R10,51.72,25.77,6.05,19.65,7.97,110.99,27.59,84.3,62.23,539.84,20.23,97.6,0.159,97.44,0.037,0.257,3071.8,0.446,0.957,9.19,Forest
2024-01-06 01:00:00,R09,7.47,24.84,5.32,47.26,73.13,50.59,24.54,56.27,46.3,391.99,28.18,48.09,0.707,94.97,0.195,0.476,3808.82,0.273,0.586,3.31,Forest
2024-01-06 02:00:00,R12,45.38,27.82,4.76,26.49,17.04,118.15,22.47,21.56,100.32,1193.69,25.55,42.56,0.689,78.05,0.82,0.323,2365.07,0.792,0.519,4.48,Forest
2024-01-06 03:00:00,R12,23.77,43.08,4.82,76.49,57.3,242.37,24.43,27.66,34.52,614.46,28.9,34.89,0.493,3.28,0.478,0.339,3873.13,0.537,0.435,14.3,Agriculture
2024-01-06 04:00:00,R12,31.32,29.19,7.54,62.48,70.49,154.09,24.69,66.83,1.65,535.57,23.55,81.0,0.781,72.86,0.07,0.691,2736.56,0.62,0.456,1.34,Restoration
2024-01-06 05:00:00,R13,56.09,43.36,6.28,10.47,28.26,115.6,43.66,93.7,59.67,244.42,19.16,25.54,0.803,2.99,0.359,0.29,3795.32,0.055,0.568,11.56,Forest
2024-01-06 06:00:00,R09,23.26,16.31,7.4,117.33,67.28,119.25,31.0,82.91,111.11,324.98,12.99,51.3,0.442,7.36,0.714,0.015,2384.89,0.665,0.435,13.12,Water
2024-01-06 07:00:00,R13,30.59,35.34,7.23,48.45,29.9,184.15,28.86,79.84,32.79,868.33,4.13,34.51,0.651,35.25,0.744,0.351,1395.04,0.692,0.426,8.98,Forest
2024-01-06 08:00:00,R15,5.75,38.43,5.04,38.4,64.57,118.6,30.1,51.35,31.96,665.15,7.9,87.57,0.912,31.62,0.588,0.932,1572.05,0.137,0.288,0.25,Restoration
2024-01-06 09:00:00,R13,9.49,33.77,5.07,34.47,10.24,204.01,44.88,93.89,88.57,461.74,8.5,28.27,0.081,56.38,0.752,0.658,1296.18,0.745,0.678,11.38,Forest
2024-01-06 10:00:00,R01,19.22,31.24,7.52,27.47,54.14,297.26,34.61,81.87,93.06,391.57,13.12,68.65,0.012,24.39,0.424,0.516,1373.41,0.07,0.873,5.99,Agriculture
2024-01-06 11:00:00,R09,6.53,29.77,7.39,119.91,55.79,50.71,36.1,45.17,52.27,280.85,18.49,58.87,0.473,19.92,0.476,0.441,3907.44,0.094,0.034,11.51,Restoration
2024-01-06 12:00:00,R07,39.73,40.13,6.01,42.46,41.86,83.87,24.41,76.14,100.04,88.98,18.75,32.84,0.332,66.66,0.43,0.846,5331.74,0.627,0.964,1.92,Agriculture
